Hamd, âlemlerin Rabbi olan Allah'a mahsustur.	, 	Fâtiha, 2
O, gökleri ve yeri yedi günde yaratan, sonra Arş’a istivâ edendir. Yere gireni ve ondan çıkanı, gökten ineni ve ona yükseleni bilir.	, 	Hadîd, 4
Rabbimiz! Bize dünyada iyilik ver, ahirette de iyilik ver ve bizi ateş azabından koru.	, 	Bakara, 201
Hala Kur’an’ı üzerinde gereği gibi düşünmeyecekler mi?	, 	Nisâ, 82
Allah yolunda öldürülenleri ölüler sanmayın. Aksine onlar diridirler.	, 	Âl-i İmrân, 169
Deki: Eğer Allah’ı seviyorsanız bana uyun ki, Allah da sizi sevsin ve günahlarınızı bağışlasın.	, 	Âl-i İmrân, 31
Ey iman edenler! Kendi evlerinizden başka evlere, geldiğinizi fark ettirip ev halkına selâm vermedikçe girmeyin.	, 	Nûr, 27
Geceyi ve gündüzü, güneşi ve ayı yaratan O’dur. Her biri bir yörüngede yüzmektedir.	, 	Enbiyâ, 33
O, karanlığı yarıp sabahı çıkarandır. Geceyi dinlenme zamanı, güneşi ve ayı da ince birer hesap ölçüsü kıldı.	, 	En'âm, 96
Yedi göğü birbiriyle tam bir uyum içinde yaratan O’dur. Rahmân’ın yaratmasında hiçbir nizamsızlık göremezsin.	, 	Mülk, 3
Biz göğü, yeri ve ikisi arasındakileri boş yere yaratmadık.	, 	Sâd, 27
Andolsun, biz Kur’an’ı düşünüp öğüt alınsın diye kolaylaştırdık. Öğüt alan yok mu?	, 	Kamer, 17
Yeryüzünde gezip dolaşmadılar mı ki, düşünecek kalpleri, işitecek kulakları olsun?	, 	Hac, 46
Görmedin mi ki, göklerdeki ve yerdeki herkes; güneş, ay, yıldızlar, dağlar, ağaçlar, hayvanlar Allah’a secde etmektedir.	, 	Hac, 18
Kuşkusuz göklerin ve yerin yaratılışında, gece ve gündüzün değişmesinde akıl sahipleri için ibretler vardır.	, 	Âl-i İmrân, 190
Ey iman edenler! Zannın çoğundan sakının; çünkü zannın bir kısmı günahtır.	, 	Hucurât, 12
İnsanlardan öyleleri vardır ki, bilgisi olmaksızın Allah hakkında tartışmaya girer.	, 	Hac, 3
O, kullarının tevbesini kabul eden, kötülükleri bağışlayan ve yaptıklarınızı bilendir.	, 	Şûrâ, 25
Sizin ilahınız tek bir ilahtır. O’ndan başka ilah yoktur. O, Rahmân’dır, Rahîm’dir.	, 	Bakara, 163
Allah her canlının rızkını verir.	, 	Ankebût, 60
Ey nefislerine karşı aşırı giden kullarım! Allah’ın rahmetinden ümit kesmeyin.	, 	Zümer, 53
Sabret! Senin sabrın ancak Allah’ın yardımıyladır.	, 	Nahl, 127
Görmedin mi ki, Allah bulutları sürmekte, sonra onları birleştirmekte, sonra da onları üst üste yığmaktadır.	, 	Nûr, 43
Onlar ki, boş ve anlamsız şeylerden yüz çevirirler.	, 	Mü'minûn, 3
Kullarım sana beni sorduklarında, de ki: Ben onlara çok yakınım.	, 	Bakara, 186
Deki: Göklerde ve yerde olan her şey Allah’ındır.	, 	En'âm, 12
Allah dilediğine hesapsız rızık verir.	, 	Bakara, 212
Sizin en değerliniz, Allah’a karşı gelmekten en çok sakınanınızdır.	, 	Hucurât, 13
Yaptıklarınızdan mutlaka sorguya çekileceksiniz.	, 	Nahl, 93
Zulmedenler yakında nasıl bir devrimle devrileceklerini görecekler.	, 	Şuarâ, 227
Korkmayın, çünkü ben sizinle beraberim; işitirim ve görürüm.	, 	Tâhâ, 46
O gün ne mal fayda verir ne de evlat. Ancak Allah’a selim bir kalple gelenler müstesna.	, 	Şuarâ, 88-89
Göğü biz gücümüzle bina ettik ve şüphesiz biz onu genişletmekteyiz.	, 	Zâriyât, 47
Siz hiçbir şey değilken O sizi yarattı.	, 	Meryem, 9
Biz her insanın kaderini kendi çabasına bağlı kıldık.	, 	İsrâ, 13
Sana kıyametin ne zaman kopacağını soruyorlar. De ki: Onun bilgisi ancak Rabbimin katındadır.	, 	A'râf, 187
Ey iman edenler! Kendinizi ve ailenizi yakıtı insanlar ve taşlar olan ateşten koruyun.	, 	Tahrîm, 6
Şüphesiz Allah katında canlıların en kötüsü, düşünmeyen sağırlar ve dilsizlerdir.	, 	Enfâl, 22
Eğer Allah size yardım ederse, artık sizi yenecek hiçbir güç yoktur.	, 	Âl-i İmrân, 160
Göklerin ve yerin orduları Allah’ındır.	, 	Fetih, 4
Ey iman edenler! Yapmayacağınız şeyleri niçin söylüyorsunuz?	, 	Saf, 2
Yaratan bilmez mi? O, en ince işleri görüp bilendir ve her şeyden haberdardır.	, 	Mülk, 14
Gerçekten insan Rabbine karşı çok nankördür.	, 	Âdiyât, 6
İyilik edin, şüphesiz Allah iyilik edenleri sever.	, 	Bakara, 195
Göklerde ve yerde ne varsa hepsi Allah’ı tesbih eder.	, 	Saf, 1
Allah dilediğini nuruna iletir.	, 	Nûr, 35
Kuran'ı tertil ile (ağır ağır, anlayarak) oku.	, 	Müzzemmil, 4
Sizin ilahınız tek bir ilahtır.	, 	Kehf, 110
Şüphesiz O, çok bağışlayıcıdır, çok merhametlidir.	, 	Şûrâ, 5
Zalimler için hiçbir yardımcı yoktur.	, 	Hac, 71
Nefsini kötülüklerden arındıran kurtuluşa ermiştir.	, 	Şems, 9
Müminler ancak o kimselerdir ki, Allah anıldığı zaman kalpleri ürperir.	, 	Enfâl, 2
Bilin ki dünya hayatı ancak bir oyun ve eğlencedir.	, 	Hadîd, 20
Şüphesiz biz ona doğru yolu gösterdik; ister şükreder, ister nankörlük eder.	, 	İnsan, 3
İyilikle kötülük bir olmaz. Sen kötülüğü en güzel olanla sav.	, 	Fussilet, 34
Allah dilediğini nuruna iletir. Allah insanlar için misaller verir.	, 	Nûr, 35
Görmedin mi ki, Allah göklerde ve yerde olanları bilir.	, 	Mücâdele, 7
O, gökleri ve yeri hak ile yaratandır. Size şekil vermiş ve şeklinizi güzel yapmıştır.	, 	Tegâbun, 3
O, her şeyi hakkıyla bilendir.	, 	Bakara, 29
Allah, inananların dostudur.	, 	Bakara, 257
Deki: Rabbimin lütfu ve rahmetiyle, ancak bununla ferahlasınlar.	, 	Yûnus, 58
Allah sabredenlerle beraberdir.	, 	Enfâl, 46
Şüphesiz O, çok bağışlayan ve çok merhamet edendir.	, 	Ahzâb, 43
Her nerede olursanız olun, O sizinle beraberdir.	, 	Hadîd, 4
Rabbim, benim ilmimi artır.	, 	Tâhâ, 114
Şüphesiz Allah, adaleti ve iyiliği emreder.	, 	Nahl, 90
Allah, tevbe edenleri ve temizlenenleri sever.	, 	Bakara, 222
O, geceyi gündüze katar, gündüzü de geceye katar. Güneşi ve ayı emrine boyun eğdirmiştir.	, 	Fâtır, 13
Kim Allah'a tevekkül ederse, O kendisine yeter.	, 	Talâk, 3
Hiç yaratan, yaratmayan gibi olur mu? Hâlâ düşünmüyor musunuz?	, 	Nahl, 17
Rabbin, kendisinden başkasına asla ibadet etmemenizi ve ana-babaya iyi davranmanızı emretti.	, 	İsrâ, 23
Müminler ancak kardeştirler.	, 	Hucurât, 10
Andolsun, biz insanı en güzel biçimde yarattık.	, 	Tîn, 4
Kullarıma söyle, en güzel olanı konuşsunlar.	, 	İsrâ, 53
Şüphesiz O, her şeyi işitendir, her şeyi görendir.	, 	İsrâ, 1
Ey Rabbimiz! Bize katından bir rahmet ver.	, 	Kehf, 10
Gevşemeyin, hüzünlenmeyin; eğer inanıyorsanız üstün olan sizsiniz.	, 	Âl-i İmrân, 139
Andolsun, size kendi içinizden çok izzetli bir peygamber gelmiştir.	, 	Tevbe, 128
Ey iman edenler! Allah'a karşı gelmekten sakının ve doğru söz söyleyin.	, 	Ahzâb, 70
Onlar, ayakta dururken, otururken ve yanları üzerine yatarken Allah'ı anarlar.	, 	Âl-i İmrân, 191
Deki: 'Eğer denizi Rabbimin kelimeleri için mürekkep yapsaydınız, Rabbimin kelimeleri tükenmeden deniz tükenirdi.'	, 	Kehf, 109
Şüphesiz Allah, tevekkül edenleri sever.	, 	Âl-i İmrân, 159
Göklerin ve yerin anahtarları O'nundur. Dilediğine rızkı bol verir, dilediğine de kısar.	, 	Şûrâ, 12
Ey Rabbimiz! Bize katından bir rahmet ver ve işimizde bize doğru olanı kolaylaştır.	, 	Kehf, 10
Biz göğü, yeri ve ikisi arasındakileri bir oyun ve eğlence olsun diye yaratmadık.	, 	Enbiyâ, 16
Sizin dostunuz ancak Allah'tır, O'nun Resûlüdür ve müminlerdir.	, 	Mâide, 55
Allah, kullarına karşı çok lütufkârdır; dilediğini rızıklandırır.	, 	Şûrâ, 19
Eğer Allah size bir zarar dokundurursa, onu O'ndan başka giderecek yoktur.	, 	En'âm, 17
O, dilediği kuluna rahmetini tahsis eder. Allah, büyük lütuf sahibidir.	, 	Bakara, 105
Göklerde ve yerde ne varsa hepsi O'nundur. Hepsi O'na boyun eğmektedir.	, 	Rûm, 26
Allah, bir güçlükten sonra bir kolaylık yaratacaktır.	, 	Talâk, 7
İman edenlerin Allah'ı zikretmekten dolayı kalplerinin ürperme zamanı gelmedi mi?	, 	Hadîd, 16
Rabbin, çok bağışlayıcıdır, merhamet sahibidir.	, 	Kehf, 58
Allah her şeye kadirdir.	, 	Bakara, 20
O, sizi karanlıklardan aydınlığa çıkarmak için kuluna apaçık ayetler indirendir.	, 	Hadîd, 9
Allah'tan korkun ve bilin ki Allah, sakınanlarla beraberdir.	, 	Bakara, 194
De ki: 'Doğru yol ancak Allah'ın yoludur.'	, 	Bakara, 120
Rabbimiz! Bize dünyada güzellik ver, ahirette de güzellik ver.	, 	Bakara, 201
Şüphesiz Allah, adaleti, iyiliği ve akrabaya yardım etmeyi emreder.	, 	Nahl, 90
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
